COM0129, LINGUAGENS DA COMUNICAÇÃO 1
COM0130, INTRODUÇÃO AS TEORIAS DA COMUNICAÇÃO
COM0132, LINGUAGENS DA COMUNICAÇÃO 2
COM0133, METODOLOGIA DE PESQUISA EM COMUNICAÇÃO
COM0134, PLANEJAMENTO EM COMUNICAÇÃO
COM0135, PRODUÇÃO E EDIÇÃO DE IMAGEM E SOM
COM0136, TEORIAS DA COMUNICAÇÃO ORGANIZACIONAL
COM0139, GESTÃO EM COMUNICAÇÃO
COM0140, POLÍTICAS DE COMUNICAÇÃO, SOCIEDADE E CIDADANIA
COM0146, PESQUISA EM OPINIÃO E MERCADO
COM0147, PLANEJAMENTO E GESTÃO EM ORG PÚBLICAS, PRIVADAS E DO TERCEIRO SETOR
COM0148, FORMATAÇÃO E GERENCIAMENTO DE PROJETOS EM COMUNICAÇÃO
COM0150, GESTÃO ESTRATÉGICA PARA A SOCIEDADE
COM0153, PRÉ-PROJETO DE TCC
COM0157, TÓPICOS ESPECIAIS EM COMUNICAÇÃO ORGANIZACIONAL 1
COM0203, INTRODUÇÃO AO PLANEJAMENTO
COM0204, TÉCNICAS DE JORNALISMO IMPRESSO E ONLINE
COM0206, PLANEJAMENTO GRÁFICO, VISUAL E WEB
COM0207, TÉCNICAS DE JORNALISMO RÁDIO E TV
COM0208, INSTRUMENTOS DA COMUNICAÇÃO ORGANIZACIONAL
COM0209, PLANEJAMENTO E GESTÃO EM MARKETING
COM0210, CRIAÇÃO EM COMUNICAÇÃO E PUBLICIDADE
COM0211, ROTEIRO, PRODUÇÃO E EDIÇÃO EM WRTV
COM0212, PLANEJAMENTO E GESTÃO EM WEB
COM0213, AVALIAÇÃO EM PROJETOS DE COMUNICAÇÃO
COM0214, ASSESSORIA E CONSULTORIA DE COMUNICAÇÃO
DIN0003, FUNDAMENTOS DA LÍNGUAGEM APLICADOS AO DESIGN
DIN0004, FOTOGRAFIA
DIN0006, TÓPICOS ESPECIAIS EM DESIGN
DIN0008, PROCESSOS ARTESANAIS DE REPRODUÇÃO GRÁFICA
DIN0010, TRABALHO DE CONCLUSÃO DE CURSO EM DESIGN 2
DIN0011, EXPRESSAO
DIN0012, ANALISE GRAFICA 1
DIN0013, ANALISE GRAFICA 2
DIN0020, HISTORIA DA ARTE E DA TECNOLOGIA
DIN0023, METODOLOGIA DO PROJETO
DIN0034, ESTUDO DA FORMA
DIN0037, DESENHO APLICADO 1
DIN0039, PROJETO DE PRODUTO 1
DIN0040, PROGRAMACAO VISUAL 1
DIN0041, PROGRAMACAO VISUAL 2
DIN0042, PROGRAMACAO VISUAL 3
DIN0043, PROJETO DE PRODUTO 2
DIN0044, PROJETO DE PRODUTO 3
DIN0045, DESENHO APLICADO 2
DIN0046, OFICINA DE MODELOS E MAQUETE
DIN0047, FOTOGRAFIA E VIDEO
DIN0049, INTRODUCAO AO DESIGN
DIN0050, MATERIAIS E PROCESSOS GRAFICOS
DIN0051, PROJETO DE PRODUTO 4
DIN0052, PROGRAMACAO VISUAL 4
DIN0059, ESTUDOS DIRIGIDOS EM DESIGN 1
DIN0063, ESTUDOS DIRIGIDOS EM DESIGN 3
DIN0068, TRABALHO DE CONCLUSÃO DE CURSO 1 - PROGRAMAÇÃO VISUAL
DIN0069, TRABALHO DE CONCLUSÃO DE CURSO 1 - PROJETO DO PRODUTO
DIN0110, TÓPICOS ESPECIAIS EM DESIGN 2
DIN0112, TÓPICOS ESPECIAIS EM DESIGN 4
DPG0157, INTRODUÇÃO AO MÉTODO DOS ELEMENTOS DE CONTORNO
DPG0216, DINÂMICA DE ESTRUTURAS
DPG0248, COMPORTAMENTO MECÂNICO DOS SÓLIDOS
DPG0310, MECÂNICA DA FRATURA
DPG0433, VIBRAÇÕES MECÂNICAS
DPG0623, MICROHIDRODINÂMICA
DPG0782, ENERGIA E AMBIENTE
DPG0805, DINAMICA DOS FLUÍDOS NÃO-NEWTONIANOS
DPG0841, TRANSFERÊNCIA DE CALOR AVANÇADA
DPG0921, FADIGA DOS MATERIAIS
ENM0002, INTRODUÇÃO À EXPLORAÇÃO DE PETRÓLEO EM ALTO MAR
ENM0003, FUNDAMENTOS DE ENGENHARIA DE RESERVATÓRIO
ENM0027, TECNOLOGIAS DE COMANDO NUMERICO
ENM0068, TERMODINAMICA 1
ENM0070, MAQUINAS TERMICAS
ENM0071, TRANSFERENCIA DE CALOR
ENM0072, INSTALACOES TERMOMECANICAS 1
ENM0073, INSTALACOES TERMOMECANICAS 2
ENM0074, MOTORES DE COMBUSTAO INTERNA
ENM0076, TOPICOS ESPECIAIS EM SISTEMAS TERMICOS
ENM0080, FENOMENOS DE TRANSPORTE
ENM0082, MECANICA DOS FLUIDOS 2
ENM0083, SISTEMAS FLUIDO-MECANICOS 1
ENM0084, SISTEMAS HIDRAULICOS E PNEUMATICOS
ENM0087, TUBULAÇÕES INDUSTRIAIS
ENM0089, ANALISE DE PROBLEMAS DE ENGENHARIA MECANICA
ENM0090, MATERIAIS DE CONSTRUCAO MECANICA 1
ENM0091, MATERIAIS DE CONSTRUCAO MECANICA 2
ENM0093, TECNOLOGIA MECANICA 2
